# merged; npoints=32363523859 degenerate=7740416 ambig=0
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,none
181,11989490,1595338,192573,25035,3645,667,143,31,4,2,0,0,0,0,0,0,0
182,12008897,1578852,190138,24543,3467,628,134,31,3,1,0,0,0,0,0,0,0
183,11974461,1602759,198386,26156,3875,661,124,23,2,1,1,0,0,0,0,0,0
184,11982672,1599396,194449,25108,3769,640,136,25,4,4,2,0,0,0,0,0,0
185,11991076,1590914,194164,25253,3767,640,130,24,7,3,2,0,0,0,0,0,0
186,11970042,1606275,198639,26044,3849,687,148,32,8,5,2,0,0,0,0,0,0
187,11950069,1621783,201828,26841,4064,716,152,27,7,4,3,0,0,0,0,0,0
188,11947320,1622779,203270,26822,4103,736,149,27,9,6,2,0,0,0,0,0,0
189,11948399,1622211,202400,26935,4069,749,161,30,8,6,3,0,0,0,0,0,0
190,11943857,1626070,203447,26534,3906,705,153,26,9,7,5,0,0,0,0,0,0
191,11918027,1643398,209617,28168,4305,768,152,24,9,6,3,0,0,0,0,0,0
192,11956648,1609629,205259,27465,4211,778,167,36,11,6,4,0,0,0,0,0,0
193,11925563,1638306,206986,27890,4205,755,164,43,13,8,5,0,0,0,0,0,0
194,11902583,1653987,212498,29134,4460,785,155,41,11,6,3,0,0,0,0,0,0
195,11904745,1654014,211003,28393,4275,743,160,38,14,6,3,0,0,0,0,0,0
196,11907294,1651276,210509,28729,4341,742,158,52,18,9,6,0,0,0,0,0,0
197,11890822,1662933,214540,29144,4403,756,164,44,15,7,4,0,0,0,0,0,0
198,11883405,1669124,215102,29308,4544,820,181,39,12,7,3,0,0,0,0,0,0
199,11874186,1675549,217090,29828,4526,844,178,46,15,9,4,0,0,0,0,0,0
200,11877003,1673254,216575,29709,4422,787,159,41,12,7,4,0,0,0,0,0,0
201,11882709,1668934,214960,29576,4440,823,177,45,16,9,5,0,0,0,0,0,0
202,11858392,1686752,220660,30061,4455,811,177,52,15,8,5,0,0,0,0,0,0
203,11865472,1680993,218951,30035,4560,850,185,43,11,7,5,0,0,0,0,0,0
204,11857651,1685987,220468,30908,4701,823,192,54,17,8,5,0,0,0,0,0,0
205,11847157,1694621,222225,30735,4654,836,191,54,16,5,2,0,0,0,0,0,0
206,11833276,1705201,224880,30957,4712,872,207,61,13,5,3,0,0,0,0,0,0
207,11840223,1700127,223457,30402,4532,880,181,50,10,3,2,0,0,0,0,0,0
208,11808887,1720656,231532,32356,4922,920,207,59,14,4,4,0,0,0,0,0,0
209,11825830,1709668,226237,31475,4920,867,195,43,8,2,2,0,0,0,0,0,0
210,11827145,1707934,226103,31681,4904,891,198,49,14,3,3,0,0,0,0,0,0
211,11795258,1730439,233615,33008,5058,935,216,51,14,3,3,0,0,0,0,0,0
212,11803842,1723867,231627,32718,5023,915,210,52,12,3,3,0,0,0,0,0,0
