# regions: k[3001,6500]xN[2,1e7] + k[16,6500]xN[1e7+1,3e7]; npoints=145762074292 degenerate=34539342 ambig=20
k,ff1,ff2,ff3,ff4,ff5,ff6,ff7,ff8,ff9,ff10,ff11,ff12,ff13,ff14,ff15,ff16,ff17,ff18,none
258,24833130,2609339,229976,18848,1377,75,1,0,0,0,0,0,0,0,0,0,0,0,0
259,24828165,2613465,230876,18834,1456,99,6,0,0,0,0,0,0,0,0,0,0,0,0
260,24796470,2638301,237104,19530,1486,127,6,0,0,0,0,0,0,0,0,0,0,0,0
261,24827000,2614055,231140,19285,1529,118,7,0,0,0,0,0,0,0,0,0,0,0,0
262,24821298,2619276,232572,18560,1438,96,3,0,0,0,0,0,0,0,0,0,0,0,0
263,24791234,2644461,236487,19578,1523,96,5,0,0,0,0,0,0,0,0,0,0,0,0
264,24812513,2624983,235082,19390,1435,96,8,1,0,0,0,0,0,0,0,0,0,0,0
265,24792299,2641616,238175,19832,1577,124,3,0,0,0,0,0,0,0,0,0,0,0,0
266,24750986,2675995,244650,20396,1609,133,7,0,0,0,0,0,0,0,0,0,0,0,0
267,24754568,2673396,243771,20460,1533,114,12,0,0,0,0,0,0,0,0,0,0,0,0
268,24759425,2670823,242010,20166,1454,126,6,0,0,0,0,0,0,0,0,0,0,0,0
269,24752121,2673882,245501,20697,1756,133,6,1,0,0,0,0,0,0,0,0,0,0,0
270,24725596,2698017,247776,21055,1663,119,8,1,0,0,0,0,0,0,0,0,0,0,0
271,24768547,2660965,242709,20411,1569,123,5,2,0,0,0,0,0,0,0,0,0,0,0
272,24731528,2692224,247564,21192,1802,142,7,0,0,0,0,0,0,0,0,0,0,0,0
273,24727602,2695585,248611,20958,1677,119,8,0,0,0,0,0,0,0,0,0,0,0,0
274,24689373,2724318,256795,22308,1748,122,8,1,0,0,0,0,0,0,0,0,0,0,0
275,24708674,2709708,252624,21934,1731,134,3,0,0,0,0,0,0,0,0,0,0,0,0
276,24708843,2709998,252421,21902,1645,125,5,0,0,0,0,0,0,0,0,0,0,0,0
