k,d,A,p01_lam,p01_q,p01_raw,p012_lam,p012_q,p012_raw
13,2756457,24494976,1,1,1,0,0,0
13,2795440,24841403,1,1,1,0,0,0
13,2795441,24841403,1,1,1,0,0,0
13,2819904,25058799,1,1,1,0,0,0
13,2977204,26456624,1,1,1,0,0,0
13,2985077,26526590,1,1,1,0,0,0
13,3761785,33428735,1,1,1,0,0,0
13,3761786,33428735,1,1,1,0,0,0
13,3790216,33681375,1,1,1,0,0,0
13,4035577,35861760,1,1,1,0,0,0
13,4035578,35861760,1,1,1,0,0,0
13,6334288,56289024,1,1,1,0,0,0
13,6636349,58973264,1,1,1,0,0,0
13,8000567,71096255,1,1,1,0,0,0
13,8785395,78070545,1,1,1,0,0,0
13,8954560,79573824,1,1,1,0,0,0
13,8954561,79573824,1,1,1,0,0,0
13,10175021,90419328,1,1,1,0,0,0
13,10264462,91214135,1,1,1,0,0,0
13,15356582,136464768,1,1,1,0,0,0
13,15356583,136464768,1,1,1,0,0,0
13,16640420,147873465,1,1,1,0,0,0
13,17054371,151551999,0,1,0,0,0,0
13,18737124,166505625,1,1,1,0,0,0
13,18737125,166505625,1,1,1,0,0,0
13,22559706,200474624,0,1,0,0,0,0
13,40331774,358404375,1,1,1,0,0,0
13,45902069,407904255,1,1,1,0,0,0
